Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
1st,G,Allen Iverson,0,25,phi,612,620,0.987,120,0,0,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,2001
1st,F,Tim Duncan,0,24,sas,608,620,0.981,115,0,0,82,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2,2001
1st,F,Chris Webber,0,27,sac,596,620,0.961,109,0,0,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186,2001
1st,C,Shaquille O'Neal,0,28,lal,581,620,0.937,115,0,0,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245,2001
1st,G,Jason Kidd,0,27,pho,423,620,0.682,54,0,0,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,2001
2nd,F,Kevin Garnett,0,24,min,424,620,0.684,25,0,0,81,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176,2001
2nd,G,Kobe Bryant,0,22,lal,411,620,0.663,36,0,0,68,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196,2001
2nd,F,Tracy McGrady,0,21,orl,318,620,0.513,21,0,0,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,2001
2nd,F,Vince Carter,0,24,tor,287,620,0.463,11,0,0,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208,2001
2nd,C,Dikembe Mutombo,0,34,tot,238,620,0.384,0,0,0,75,34.5,10,13.5,1,0.4,2.7,0.484,0,0.725,8.1,0.151,2001
3rd,F,Karl Malone,0,37,uta,197,620,0.318,0,0,0,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217,2001
3rd,C,David Robinson,0,35,sas,165,620,0.266,0,0,0,80,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246,2001
3rd,G,Gary Payton,0,32,sea,117,620,0.189,1,0,0,79,41.1,23.1,4.6,8.1,1.6,0.3,0.456,0.375,0.766,10.8,0.16,2001
3rd,G,Ray Allen,0,25,mil,105,620,0.169,3,0,0,82,38.2,22,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211,2001
