Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
ORV,G,Mike Bibby,0,24,sac,1,610,0.002,0,0,1,55,33.4,15.9,2.7,5.2,1.3,0.1,0.47,0.409,0.861,5.6,0.146,2003
ORV,G,Michael Finley,0,29,dal,1,610,0.002,0,0,1,69,38.3,19.3,5.8,3,1.1,0.3,0.425,0.37,0.861,6.7,0.123,2003
ORV,C,Jamaal Magloire,0,24,noh,1,610,0.002,0,0,1,82,29.8,10.3,8.8,1.1,0.6,1.4,0.48,0,0.717,6.7,0.133,2003
ORV,G,Tony Parker,0,20,sas,1,610,0.002,0,0,1,82,33.8,15.5,2.6,5.3,0.9,0,0.464,0.337,0.755,7.7,0.134,2003
ORV,F,Jalen Rose,0,30,chi,1,610,0.002,0,0,1,82,40.9,22.1,4.3,4.8,0.9,0.3,0.406,0.37,0.854,3.6,0.052,2003
ORV,G,John Stockton,0,40,uta,1,610,0.002,0,0,1,82,27.7,10.8,2.5,7.7,1.7,0.2,0.483,0.363,0.826,9,0.19,2003
ORV,F,Wally Szczerbiak,0,25,min,1,610,0.002,0,0,1,52,35.3,17.6,4.6,2.6,0.8,0.4,0.481,0.421,0.867,5.2,0.135,2003
1st,F,Kevin Garnett,0,27,min,615,615,1,123,0,0,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272,2004
1st,F,Tim Duncan,0,27,sas,597,615,0.971,114,0,0,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,2004
1st,G,Kobe Bryant,0,25,lal,582,615,0.946,111,0,0,65,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,2004
1st,C,Shaquille O'Neal,0,31,lal,556,615,0.904,95,0,0,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,0,0.49,9.9,0.192,2004
1st,G,Jason Kidd,0,30,njn,421,615,0.685,55,0,0,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,2004
2nd,C,Jermaine O'Neal,0,25,ind,423,615,0.688,31,0,0,78,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155,2004
2nd,F,Peja Stojakovic,0,26,sac,378,615,0.615,14,0,0,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,2004
2nd,G,Sam Cassell,0,34,min,322,615,0.524,34,0,0,81,35,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205,2004
2nd,G,Tracy McGrady,0,24,orl,274,615,0.446,16,0,0,67,39.9,28,6,5.5,1.4,0.6,0.417,0.339,0.796,8.4,0.151,2004
2nd,C,Ben Wallace,0,29,det,195,615,0.317,2,0,0,81,37.7,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16,2004
3rd,C,Yao Ming,0,23,hou,189,615,0.307,0,0,0,82,32.8,17.5,9,1.5,0.3,1.9,0.522,0,0.809,11.4,0.202,2004
3rd,G,Baron Davis,0,24,noh,176,615,0.286,10,0,0,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133,2004
3rd,F,Dirk Nowitzki,0,25,dal,145,615,0.236,0,0,0,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19,2004
3rd,G,Michael Redd,0,24,mil,95,615,0.154,4,0,0,82,36.8,21.7,5,2.3,1,0.1,0.44,0.35,0.868,9.7,0.154,2004
3rd,F,Metta World Peace,0,24,ind,90,615,0.146,0,0,0,73,37.2,18.3,5.3,3.7,2.1,0.7,0.421,0.31,0.733,8,0.141,2004
ORV,G,Steve Nash,0,29,dal,75,615,0.122,3,0,0,78,33.5,14.5,3,8.8,0.9,0.1,0.47,0.405,0.916,8.8,0.162,2004
ORV,F,Paul Pierce,0,26,bos,68,615,0.111,0,0,0,80,38.7,23,6.5,5.1,1.6,0.7,0.402,0.299,0.819,7.1,0.109,2004
ORV,F,LeBron James,1966,19,cle,48,615,0.078,1,0,0,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,2004
ORV,F,Andrei Kirilenko,0,22,uta,48,615,0.078,0,0,0,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,2004
ORV,G,Stephon Marbury,0,26,tot,44,615,0.072,0,0,0,81,40.2,20.2,3.2,8.9,1.6,0.1,0.431,0.318,0.817,9.1,0.134,2004
ORV,F,Lamar Odom,0,24,mia,20,615,0.033,0,0,0,80,37.5,17.1,9.7,4.1,1.1,0.9,0.43,0.298,0.742,8.4,0.134,2004
ORV,G,Mike Bibby,0,25,sac,18,615,0.029,1,0,0,82,36.3,18.4,3.4,5.4,1.4,0.2,0.45,0.392,0.815,9.3,0.151,2004
ORV,F,Zach Randolph,0,22,por,18,615,0.029,0,0,0,81,37.9,20.1,10.5,2,0.8,0.5,0.485,0.2,0.761,7.1,0.111,2004
ORV,F,Vince Carter,0,27,tor,16,615,0.026,0,0,0,73,38.2,22.5,4.8,4.8,1.2,0.9,0.417,0.383,0.806,6,0.103,2004
ORV,F,Carmelo Anthony,0,19,den,14,615,0.023,0,0,0,82,36.5,21,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,2004
ORV,G,Chauncey Billups,0,27,det,12,615,0.02,0,0,0,78,35.4,16.9,3.5,5.7,1.1,0.1,0.394,0.388,0.878,11.3,0.198,2004
ORV,C,Brad Miller,0,27,sac,12,615,0.02,0,0,0,72,36.4,14.1,10.3,4.3,0.9,1.2,0.51,0.316,0.778,10,0.184,2004
ORV,C,Jamaal Magloire,0,25,noh,9,615,0.015,0,0,0,82,33.9,13.6,10.3,1,0.5,1.2,0.473,0,0.751,7.6,0.131,2004
ORV,C,Pau Gasol,0,23,mem,8,615,0.013,0,0,0,78,31.5,17.7,7.7,2.5,0.6,1.7,0.482,0.267,0.714,8.1,0.159,2004
ORV,G,Allen Iverson,0,28,phi,8,615,0.013,0,0,0,48,42.5,26.4,3.7,6.8,2.4,0.1,0.387,0.286,0.745,2.8,0.066,2004
ORV,G,Ray Allen,0,28,sea,6,615,0.01,0,0,0,56,38.4,23,5.1,4.8,1.3,0.2,0.44,0.392,0.904,6.9,0.153,2004
ORV,F,Elton Brand,0,24,lac,5,615,0.008,0,0,0,69,38.7,20,10.3,3.3,0.9,2.2,0.493,0,0.773,9.7,0.174,2004
ORV,C,Erick Dampier,0,28,gsw,4,615,0.007,0,0,0,74,32.5,12.3,12,0.8,0.4,1.9,0.535,0,0.654,8.9,0.178,2004
ORV,G,Michael Finley,0,30,dal,4,615,0.007,0,0,0,72,38.6,18.6,4.5,2.9,1.2,0.5,0.443,0.405,0.85,7.6,0.131,2004
ORV,G,Manu Ginobili,0,26,sas,4,615,0.007,0,0,0,77,29.4,12.8,4.5,3.8,1.8,0.2,0.418,0.359,0.802,9.1,0.194,2004
ORV,C,Zydrunas Ilgauskas,0,28,cle,4,615,0.007,0,0,0,81,31.3,15.3,8.1,1.3,0.5,2.5,0.483,0.286,0.746,7.8,0.147,2004
ORV,F,Amar'e Stoudemire,0,21,pho,4,615,0.007,0,0,0,55,36.8,20.6,9,1.4,1.2,1.6,0.475,0.2,0.713,4.4,0.105,2004
ORV,G,Jason Williams,0,28,mem,4,615,0.007,0,0,0,72,29.4,10.9,2,6.8,1.3,0.1,0.407,0.33,0.837,5.4,0.122,2004
ORV,G,Richard Hamilton,0,25,det,3,615,0.005,0,0,0,78,35.5,17.6,3.6,4,1.3,0.2,0.455,0.265,0.868,8.1,0.141,2004
ORV,F,Shawn Marion,0,25,pho,2,615,0.003,0,0,2,79,40.7,19,9.3,2.7,2.1,1.3,0.44,0.34,0.851,9.1,0.135,2004
ORV,G,Tony Parker,0,21,sas,2,615,0.003,0,0,2,75,34.4,14.7,3.2,5.5,0.8,0.1,0.447,0.312,0.702,7.5,0.14,2004
ORV,F,Rasheed Wallace,0,29,tot,2,615,0.003,0,0,2,68,35.1,16,6.8,2.3,0.9,1.8,0.436,0.331,0.736,6.2,0.125,2004
ORV,F,Carlos Boozer,0,22,cle,1,615,0.002,0,0,1,75,34.6,15.5,11.4,2,1,0.7,0.523,0.167,0.768,9.4,0.174,2004
ORV,G,Steve Francis,0,26,hou,1,615,0.002,0,0,1,79,40.4,16.6,5.5,6.2,1.8,0.4,0.403,0.292,0.775,7.1,0.107,2004
ORV,G,Corey Maggette,0,24,lac,1,615,0.002,0,0,1,73,36,20.7,5.9,3.1,0.9,0.2,0.447,0.329,0.848,8.6,0.157,2004
ORV,F,Kenyon Martin,0,26,njn,1,615,0.002,0,0,1,65,34.6,16.7,9.5,2.5,1.5,1.3,0.488,0.28,0.684,6.7,0.142,2004
ORV,C,Theo Ratliff,0,30,tot,1,615,0.002,0,0,1,85,31.3,7.9,7.2,0.8,0.6,3.6,0.485,0,0.645,5.2,0.094,2004
1st,C,Shaquille O'Neal,0,32,mia,616,620,0.994,122,0,0,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0,0.461,11,0.211,2005
1st,G,Steve Nash,0,30,pho,606,620,0.977,118,0,0,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203,2005
1st,F,Tim Duncan,0,28,sas,553,620,0.892,95,0,0,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,2005
1st,F,Dirk Nowitzki,0,26,dal,510,620,0.823,75,0,0,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,2005
1st,G,Allen Iverson,0,29,phi,498,620,0.803,69,0,0,75,42.3,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136,2005
2nd,F,LeBron James,1966,20,cle,421,620,0.679,45,0,0,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,2005
2nd,G,Dwyane Wade,0,23,mia,417,620,0.673,35,0,0,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11,0.177,2005
2nd,F,Kevin Garnett,0,28,min,408,620,0.658,34,0,0,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,2005
2nd,C,Amar'e Stoudemire,0,22,pho,367,620,0.592,9,0,0,80,36.1,26,8.9,1.6,1,1.6,0.559,0.188,0.733,14.6,0.243,2005
2nd,G,Ray Allen,0,29,sea,177,620,0.285,1,0,0,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,2005
3rd,F,Tracy McGrady,0,25,hou,264,620,0.426,15,0,0,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12,0.18,2005
3rd,F,Shawn Marion,0,26,pho,134,620,0.216,0,0,0,81,38.8,19.4,11.3,1.9,2,1.5,0.476,0.334,0.833,12.5,0.191,2005
3rd,G,Kobe Bryant,0,26,lal,108,620,0.174,1,0,0,66,40.7,27.6,5.9,6,1.3,0.8,0.433,0.339,0.816,8.1,0.145,2005
3rd,C,Ben Wallace,0,30,det,105,620,0.169,0,0,0,74,36.1,9.7,12.2,1.7,1.4,2.4,0.453,0.111,0.428,8.5,0.153,2005
3rd,G,Gilbert Arenas,0,23,was,104,620,0.168,1,0,0,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,2005
ORV,C,Yao Ming,0,24,hou,82,620,0.132,0,0,0,80,30.6,18.3,8.4,0.8,0.4,2,0.552,0,0.783,10.7,0.21,2005
ORV,F,Vince Carter,0,28,tot,63,620,0.102,0,0,0,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,2005
ORV,G,Jason Kidd,0,31,njn,16,620,0.026,0,0,0,66,36.9,14.4,7.4,8.3,1.9,0.1,0.398,0.36,0.74,7.2,0.143,2005
ORV,F,Paul Pierce,0,27,bos,15,620,0.024,0,0,0,82,36.1,21.6,6.6,4.2,1.6,0.5,0.455,0.37,0.822,11.2,0.182,2005
ORV,C,Marcus Camby,0,30,den,14,620,0.023,0,0,0,66,30.5,10.3,10,2.3,0.9,3,0.465,0,0.723,5.8,0.138,2005
ORV,F,Rashard Lewis,0,25,sea,13,620,0.021,0,0,0,71,38,20.5,5.5,1.3,1.1,0.9,0.462,0.4,0.777,8.4,0.15,2005
ORV,G,Manu Ginobili,0,27,sas,12,620,0.019,0,0,0,74,29.6,16,4.4,3.9,1.6,0.4,0.471,0.376,0.803,11,0.24,2005
ORV,C,Zydrunas Ilgauskas,0,29,cle,11,620,0.018,0,0,0,78,33.5,16.9,8.6,1.3,0.7,2.1,0.468,0.286,0.799,8.1,0.149,2005
ORV,C,Jermaine O'Neal,0,26,ind,8,620,0.013,0,0,0,44,34.8,24.3,8.8,1.9,0.6,2,0.452,0.167,0.754,3.8,0.118,2005
ORV,G,Tony Parker,0,22,sas,7,620,0.011,0,0,0,80,34.2,16.6,3.7,6.1,1.2,0.1,0.482,0.276,0.65,8.1,0.141,2005
ORV,G,Mike Bibby,0,26,sac,6,620,0.01,0,0,0,80,38.6,19.6,4.2,6.8,1.6,0.4,0.443,0.36,0.775,8.5,0.133,2005
ORV,F,Elton Brand,0,25,lac,6,620,0.01,0,0,0,81,37,20,9.5,2.6,0.8,2.1,0.503,0,0.752,10.6,0.169,2005
ORV,F,Grant Hill,0,32,orl,6,620,0.01,0,0,0,67,34.9,19.7,4.7,3.3,1.4,0.4,0.509,0.231,0.821,6.6,0.136,2005
ORV,F,Carmelo Anthony,0,20,den,5,620,0.008,0,0,0,75,34.8,20.8,5.7,2.6,0.9,0.4,0.431,0.266,0.796,4.9,0.09,2005
ORV,F,Antawn Jamison,0,28,was,5,620,0.008,0,0,0,68,38.3,19.6,7.6,2.3,0.8,0.2,0.437,0.341,0.76,5.4,0.1,2005
ORV,G,Richard Hamilton,0,26,det,3,620,0.005,0,0,0,76,38.5,18.7,3.9,4.9,1,0.2,0.44,0.305,0.858,7.4,0.121,2005
ORV,F,Tayshaun Prince,0,24,det,3,620,0.005,0,0,0,82,37.1,14.7,5.3,3,0.7,0.9,0.487,0.341,0.807,9.4,0.149,2005
ORV,G,Chauncey Billups,0,28,det,2,620,0.003,0,0,2,80,35.8,16.5,3.4,5.8,1,0.1,0.442,0.426,0.898,12.1,0.202,2005
ORV,F,Chris Bosh,0,20,tor,2,620,0.003,0,0,2,81,37.2,16.8,8.9,1.9,0.9,1.4,0.471,0.3,0.76,6.8,0.108,2005
ORV,G,Stephon Marbury,0,27,nyk,2,620,0.003,0,0,2,82,40,21.7,3,8.1,1.5,0.1,0.462,0.354,0.834,11.7,0.171,2005
ORV,G,Reggie Miller,0,39,ind,2,620,0.003,0,0,2,66,31.9,14.8,2.4,2.2,0.8,0.1,0.437,0.322,0.933,6.6,0.151,2005
ORV,G,Michael Redd,0,25,mil,2,620,0.003,0,0,2,75,38,23,4.2,2.3,0.8,0.1,0.441,0.355,0.854,6.2,0.105,2005
ORV,G,Larry Hughes,0,26,was,1,620,0.002,0,0,1,61,38.7,22,6.3,4.7,2.9,0.3,0.43,0.282,0.777,7.7,0.157,2005
ORV,G,Corey Maggette,0,25,lac,1,620,0.002,0,0,1,66,36.9,22.2,6,3.4,1.1,0.1,0.431,0.304,0.857,8.1,0.16,2005
ORV,F,Kenyon Martin,0,27,den,1,620,0.002,0,0,1,70,32.5,15.5,7.3,2.4,1.4,1.1,0.49,0,0.646,5.3,0.111,2005
ORV,C,Brad Miller,0,28,sac,1,620,0.002,0,0,1,56,37.3,15.6,9.3,3.9,1.2,1.2,0.524,0.263,0.812,8.6,0.198,2005
ORV,F,Peja Stojakovic,0,27,sac,1,620,0.002,0,0,1,66,38.4,20.1,4.3,2.1,1.2,0.2,0.444,0.402,0.92,7.3,0.137,2005
1st,F,LeBron James,1966,21,cle,610,630,0.968,116,0,0,79,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,2006
1st,G,Kobe Bryant,0,27,lal,597,630,0.948,110,0,0,80,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,2006
1st,F,Dirk Nowitzki,0,27,dal,584,630,0.927,105,0,0,81,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275,2006
1st,G,Steve Nash,0,31,pho,583,630,0.925,106,0,0,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,2006
1st,C,Shaquille O'Neal,0,33,mia,402,630,0.638,45,0,0,59,30.6,20,9.2,1.9,0.4,1.8,0.6,0,0.469,6.2,0.164,2006
2nd,G,Chauncey Billups,0,29,det,378,630,0.6,21,0,0,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,2006
2nd,G,Dwyane Wade,0,24,mia,373,630,0.592,13,0,0,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239,2006
2nd,C,Ben Wallace,0,31,det,363,630,0.576,44,0,0,82,35.2,7.3,11.3,1.9,1.8,2.2,0.51,0,0.416,10.1,0.168,2006
2nd,F,Elton Brand,0,26,lac,309,630,0.49,15,0,0,79,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229,2006
2nd,F,Tim Duncan,0,29,sas,277,630,0.44,17,0,0,80,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187,2006
3rd,F,Shawn Marion,0,27,pho,270,630,0.429,4,0,0,81,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214,2006
3rd,C,Yao Ming,0,25,hou,261,630,0.414,30,0,0,57,34.2,22.3,10.2,1.5,0.5,1.6,0.519,0,0.853,8.6,0.211,2006
3rd,G,Allen Iverson,0,30,phi,104,630,0.165,1,0,0,72,43.1,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165,2006
3rd,F,Carmelo Anthony,0,21,den,97,630,0.154,0,0,0,80,36.8,26.5,4.9,2.7,1.1,0.5,0.481,0.243,0.808,9.4,0.153,2006
3rd,G,Gilbert Arenas,0,24,was,79,630,0.125,0,0,0,80,42.3,29.3,3.5,6.1,2,0.3,0.447,0.369,0.82,13.6,0.193,2006
ORV,F,Kevin Garnett,0,29,min,94,630,0.149,0,0,0,76,38.9,21.8,12.7,4.1,1.4,1.4,0.526,0.267,0.81,14.9,0.242,2006
ORV,G,Tony Parker,0,23,sas,66,630,0.105,0,0,0,80,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169,2006
ORV,C,Pau Gasol,0,25,mem,49,630,0.078,0,0,0,80,39.2,20.4,8.9,4.6,0.6,1.9,0.503,0.25,0.689,12,0.184,2006
ORV,F,Vince Carter,0,29,njn,47,630,0.075,0,0,0,79,36.8,24.2,5.8,4.3,1.2,0.7,0.43,0.341,0.799,9.3,0.153,2006
ORV,F,Paul Pierce,0,28,bos,29,630,0.046,0,0,0,79,39,26.8,6.7,4.7,1.4,0.4,0.471,0.354,0.772,11.5,0.178,2006
ORV,G,Jason Kidd,0,32,njn,20,630,0.032,0,0,0,80,37.2,13.3,7.3,8.4,1.9,0.4,0.404,0.352,0.795,10.1,0.163,2006
ORV,C,Dwight Howard,0,20,orl,11,630,0.017,0,0,0,82,36.8,15.8,12.5,1.5,0.8,1.4,0.531,0,0.595,8.6,0.137,2006
ORV,C,Marcus Camby,0,31,den,9,630,0.014,0,0,0,56,33.2,12.8,11.9,2.1,1.4,3.3,0.465,0.091,0.712,5.5,0.141,2006
ORV,G,Richard Hamilton,0,27,det,9,630,0.014,0,0,0,80,35.3,20.1,3.2,3.4,0.7,0.2,0.491,0.458,0.845,7.6,0.13,2006
ORV,F,Rasheed Wallace,0,31,det,8,630,0.013,1,0,0,80,34.8,15.1,6.8,2.3,1,1.6,0.43,0.357,0.743,8.9,0.154,2006
ORV,C,Zydrunas Ilgauskas,0,30,cle,5,630,0.008,0,0,0,78,29.3,15.6,7.6,1.2,0.5,1.7,0.506,0,0.834,8.7,0.184,2006
ORV,C,Nenad Krstic,0,22,njn,5,630,0.008,0,0,0,80,30.9,13.5,6.4,1.1,0.4,0.8,0.507,0.25,0.698,5.4,0.105,2006
ORV,G,Ray Allen,0,30,sea,4,630,0.006,0,0,0,78,38.7,25.1,4.3,3.7,1.3,0.2,0.454,0.412,0.903,9.5,0.15,2006
ORV,C,Mehmet Okur,0,26,uta,4,630,0.006,0,0,0,82,35.9,18,9.1,2.4,0.5,0.9,0.46,0.342,0.78,9.3,0.152,2006
ORV,G,Michael Redd,0,26,mil,4,630,0.006,0,0,0,80,39.1,25.4,4.3,2.9,1.2,0.1,0.45,0.395,0.877,10.8,0.166,2006
ORV,C,Brad Miller,0,29,sac,3,630,0.005,0,0,0,79,37,15,7.8,4.7,0.8,0.8,0.495,0.386,0.828,9.1,0.15,2006
ORV,G,Sam Cassell,0,36,lac,2,630,0.003,0,0,2,78,34,17.2,3.7,6.3,0.9,0.1,0.443,0.368,0.863,7.6,0.137,2006
ORV,G,Joe Johnson,0,24,atl,2,630,0.003,0,0,2,82,40.7,20.2,4.1,6.5,1.3,0.4,0.453,0.356,0.791,6,0.086,2006
ORV,G,Mike Bibby,0,27,sac,1,630,0.002,0,0,1,82,38.6,21.1,2.9,5.4,1,0.1,0.432,0.386,0.849,8.4,0.127,2006
ORV,F,Chris Bosh,0,21,tor,1,630,0.002,0,0,1,70,39.3,22.5,9.2,2.6,0.7,1.1,0.505,0,0.816,9.8,0.17,2006
ORV,F,Boris Diaw,0,23,pho,1,630,0.002,0,0,1,81,35.5,13.3,6.9,6.2,0.7,1,0.526,0.267,0.731,8.9,0.149,2006
ORV,F,Antawn Jamison,0,29,was,1,630,0.002,0,0,1,82,40.1,20.5,9.3,1.9,1.1,0.1,0.442,0.394,0.731,8.2,0.119,2006
ORV,C,Chris Kaman,0,23,lac,1,630,0.002,0,0,1,78,32.8,11.9,9.6,1,0.6,1.4,0.523,0,0.77,6.1,0.114,2006
ORV,F,Andrei Kirilenko,0,24,uta,1,630,0.002,0,0,1,69,37.7,15.3,8,4.3,1.5,3.2,0.46,0.308,0.699,7.9,0.145,2006
ORV,G,Chris Paul,2779,20,nok,1,630,0.002,0,0,1,78,36,16.1,5.1,7.8,2.2,0.1,0.43,0.282,0.847,10.4,0.178,2006
1st,G,Steve Nash,0,32,pho,645,645,1,129,0,0,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,2007
1st,G,Kobe Bryant,0,28,lal,643,645,0.997,128,1,0,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199,2007
1st,F,Dirk Nowitzki,0,28,dal,634,645,0.983,125,0,0,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,2007
1st,F,Tim Duncan,0,30,sas,573,645,0.888,94,0,0,80,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23,2007
1st,C,Amar'e Stoudemire,0,24,pho,351,645,0.544,36,0,0,82,32.8,20.4,9.6,1,1,1.3,0.575,0,0.781,11.2,0.201,2007
2nd,F,LeBron James,1966,22,cle,494,645,0.766,64,0,0,78,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206,2007
2nd,C,Yao Ming,0,26,hou,333,645,0.516,38,0,0,48,33.8,25,9.4,2,0.4,2,0.516,0,0.862,7.4,0.22,2007
2nd,G,Gilbert Arenas,0,25,was,295,645,0.457,0,0,0,74,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177,2007
2nd,G,Tracy McGrady,0,27,hou,278,645,0.431,10,0,0,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,2007
2nd,F,Chris Bosh,0,22,tor,234,645,0.363,8,0,0,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,2007
3rd,G,Dwyane Wade,0,25,mia,241,645,0.374,1,0,0,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219,2007
3rd,F,Kevin Garnett,0,30,min,225,645,0.349,5,0,0,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,2007
3rd,F,Carmelo Anthony,0,22,den,142,645,0.22,1,0,0,65,38.2,28.9,6,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14,2007
3rd,C,Dwight Howard,0,21,orl,108,645,0.167,1,0,0,82,36.9,17.6,12.3,1.9,0.9,1.9,0.603,0.5,0.586,9.7,0.154,2007
3rd,G,Chauncey Billups,0,30,det,86,645,0.133,0,0,0,70,36.2,17,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216,2007
ORV,F,Carlos Boozer,0,25,uta,127,645,0.197,0,0,0,74,34.6,20.9,11.7,3,0.9,0.3,0.561,0,0.685,9.9,0.185,2007
ORV,C,Shaquille O'Neal,0,34,mia,70,645,0.109,3,0,0,40,28.4,17.3,7.4,2,0.2,1.4,0.591,0,0.422,2.8,0.119,2007
ORV,G,Jason Kidd,0,33,njn,58,645,0.09,0,0,0,80,36.7,13,8.2,9.2,1.6,0.3,0.406,0.343,0.778,9.3,0.152,2007
ORV,C,Marcus Camby,0,32,den,42,645,0.065,2,0,0,70,33.8,11.2,11.7,3.2,1.2,3.3,0.473,0,0.729,7.6,0.155,2007
ORV,F,Shawn Marion,0,28,pho,41,645,0.064,0,0,0,80,37.6,17.5,9.8,1.7,2,1.5,0.524,0.317,0.81,12,0.191,2007
ORV,G,Allen Iverson,0,31,tot,39,645,0.06,0,0,0,65,42.5,26.3,3,7.2,1.9,0.2,0.442,0.315,0.795,6.2,0.108,2007
ORV,G,Tony Parker,0,24,sas,39,645,0.06,0,0,0,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185,2007
ORV,F,Vince Carter,0,30,njn,15,645,0.023,0,0,0,82,38.1,25.2,6,4.8,1,0.4,0.454,0.357,0.802,10.5,0.161,2007
ORV,G,Deron Williams,0,22,uta,15,645,0.023,0,0,0,80,36.9,16.2,3.3,9.3,1,0.2,0.456,0.322,0.767,7.2,0.117,2007
ORV,F,Josh Howard,0,26,dal,11,645,0.017,0,0,0,70,35.1,18.9,6.8,1.8,1.2,0.8,0.459,0.385,0.827,8.8,0.173,2007
ORV,F,Elton Brand,0,27,lac,8,645,0.012,0,0,0,80,38.5,20.5,9.3,2.9,1,2.2,0.533,1,0.761,11.5,0.18,2007
ORV,F,Mehmet Okur,0,27,uta,7,645,0.011,0,0,0,80,33.3,17.6,7.2,2,0.5,0.5,0.462,0.384,0.765,8.8,0.158,2007
ORV,G,Baron Davis,0,27,gsw,6,645,0.009,0,0,0,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139,2007
ORV,G,Michael Redd,0,27,mil,6,645,0.009,0,0,0,53,38.4,26.7,3.7,2.3,1.2,0.2,0.465,0.382,0.829,6.1,0.145,2007
ORV,G,Ray Allen,0,31,sea,5,645,0.008,0,0,0,55,40.3,26.4,4.5,4.1,1.5,0.2,0.438,0.372,0.903,6.3,0.136,2007
ORV,G,Richard Hamilton,0,28,det,4,645,0.006,0,0,0,75,36.8,19.8,3.8,3.8,0.8,0.2,0.468,0.341,0.861,8.1,0.141,2007
ORV,G,Ben Gordon,0,23,chi,3,645,0.005,0,0,0,82,33,21.4,3.1,3.6,0.8,0.2,0.455,0.413,0.864,8.6,0.152,2007
