Year,Round,Winner,Loser,Winner_Seed,Loser_Seed,Team_1_Win%,Team_1_ORtg,Team_1_DRtg,Team_1_NRtg,Team_2_Win%,Team_2_ORtg,Team_2_DRtg,Team_2_NRtg,Team_1_Conf,Team_2_Conf
2012,Eastern Conf First Round,Boston Celtics,Atlanta Hawks,4,5,0.591,102.12,99.34,2.78,0.606,105.74,102.04,3.7,E,E
2012,Western Conf First Round,San Antonio Spurs,Utah Jazz,1,8,0.758,111.45,103.83,7.62,0.545,107.51,106.91,0.6,W,W
2012,Western Conf First Round,Oklahoma City Thunder,Dallas Mavericks,2,7,0.712,110.33,103.77,6.56,0.545,104.08,103.01,1.07,W,W
2012,Western Conf First Round,Los Angeles Lakers,Denver Nuggets,3,6,0.621,106.62,105.07,1.55,0.576,109.95,106.97,2.99,W,W
2012,Western Conf First Round,Los Angeles Clippers,Memphis Grizzlies,5,4,0.606,109.49,106.69,2.8,0.621,104.81,102.57,2.24,W,W
2012,Eastern Conf Semifinals,Miami Heat,Indiana Pacers,2,3,0.697,107.66,101.1,6.56,0.636,107.63,103.94,3.69,E,E
2012,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,4,8,0.591,102.12,99.34,2.78,0.53,104.7,100.0,4.7,E,E
2012,Western Conf Semifinals,San Antonio Spurs,Los Angeles Clippers,1,5,0.758,111.45,103.83,7.62,0.606,109.49,106.69,2.8,W,W
2012,Western Conf Semifinals,Oklahoma City Thunder,Los Angeles Lakers,2,3,0.712,110.33,103.77,6.56,0.621,106.62,105.07,1.55,W,W
2012,Western Conf Finals,Oklahoma City Thunder,San Antonio Spurs,2,1,0.712,110.33,103.77,6.56,0.758,111.45,103.83,7.62,W,W
2012,Eastern Conf Finals,Miami Heat,Boston Celtics,2,4,0.697,107.66,101.1,6.56,0.591,102.12,99.34,2.78,E,E
2012,Finals,Miami Heat,Oklahoma City Thunder,2,2,0.697,107.66,101.1,6.56,0.712,110.33,103.77,6.56,E,W
2011,Eastern Conf First Round,Chicago Bulls,Indiana Pacers,1,8,0.756,109.3,101.07,8.23,0.451,105.53,106.73,-1.2,E,E
2011,Eastern Conf First Round,Miami Heat,Philadelphia 76ers,2,7,0.707,112.62,104.35,8.27,0.5,107.62,106.02,1.6,E,E
2011,Eastern Conf First Round,Boston Celtics,New York Knicks,3,6,0.683,107.36,101.46,5.9,0.512,111.76,110.92,0.84,E,E
2011,Eastern Conf First Round,Atlanta Hawks,Orlando Magic,5,4,0.537,107.01,107.96,-0.95,0.634,108.78,102.87,5.91,E,E
2011,Western Conf First Round,Memphis Grizzlies,San Antonio Spurs,8,1,0.561,108.52,105.98,2.55,0.744,112.31,106.23,6.07,W,W
2011,Western Conf First Round,Los Angeles Lakers,New Orleans Hornets,2,7,0.695,111.61,105.0,6.61,0.561,107.25,106.19,1.06,W,W
2011,Western Conf First Round,Dallas Mavericks,Portland Trail Blazers,3,6,0.695,110.24,105.76,4.49,0.585,109.78,107.93,1.85,W,W
2011,Western Conf First Round,Oklahoma City Thunder,Denver Nuggets,4,5,0.671,112.2,108.06,4.14,0.61,112.84,108.03,4.82,W,W
2011,Eastern Conf Semifinals,Chicago Bulls,Atlanta Hawks,1,5,0.756,109.3,101.07,8.23,0.537,107.01,107.96,-0.95,E,E
2011,Eastern Conf Semifinals,Miami Heat,Boston Celtics,2,3,0.707,112.62,104.35,8.27,0.683,107.36,101.46,5.9,E,E
2011,Western Conf Semifinals,Dallas Mavericks,Los Angeles Lakers,3,2,0.695,110.24,105.76,4.49,0.695,111.61,105.0,6.61,W,W
2011,Western Conf Semifinals,Oklahoma City Thunder,Memphis Grizzlies,4,8,0.671,112.2,108.06,4.14,0.561,108.52,105.98,2.55,W,W
2011,Eastern Conf Finals,Miami Heat,Chicago Bulls,2,1,0.707,112.62,104.35,8.27,0.756,109.3,101.07,8.23,E,E
2011,Western Conf Finals,Dallas Mavericks,Oklahoma City Thunder,3,4,0.695,110.24,105.76,4.49,0.671,112.2,108.06,4.14,W,W
2011,Finals,Dallas Mavericks,Miami Heat,3,2,0.695,110.24,105.76,4.49,0.707,112.62,104.35,8.27,W,E
2010,Eastern Conf First Round,Cleveland Cavaliers,Chicago Bulls,1,8,0.744,112.27,105.07,7.21,0.5,104.24,106.03,-1.79,E,E
2010,Eastern Conf First Round,Orlando Magic,Charlotte Bobcats,2,7,0.72,112.13,104.0,8.13,0.537,105.26,103.87,1.39,E,E
2010,Eastern Conf First Round,Atlanta Hawks,Milwaukee Bucks,3,6,0.646,112.6,107.6,5.0,0.561,105.74,103.81,1.94,E,E
2010,Eastern Conf First Round,Boston Celtics,Miami Heat,4,5,0.61,108.65,104.62,4.03,0.573,107.63,105.06,2.57,E,E
2010,Western Conf First Round,Los Angeles Lakers,Oklahoma City Thunder,1,8,0.695,109.51,104.57,4.93,0.61,109.18,105.43,3.75,W,W
2010,Western Conf First Round,San Antonio Spurs,Dallas Mavericks,7,2,0.61,110.61,105.17,5.44,0.671,110.0,107.17,2.84,W,W
2010,Western Conf First Round,Phoenix Suns,Portland Trail Blazers,3,6,0.659,116.11,110.94,5.16,0.61,111.91,108.02,3.88,W,W
2010,Western Conf First Round,Utah Jazz,Denver Nuggets,5,4,0.646,111.57,105.81,5.76,0.646,112.32,108.21,4.11,W,W
2010,Eastern Conf Semifinals,Boston Celtics,Cleveland Cavaliers,4,1,0.61,108.65,104.62,4.03,0.744,112.27,105.07,7.21,E,E
2010,Eastern Conf Semifinals,Orlando Magic,Atlanta Hawks,2,3,0.72,112.13,104.0,8.13,0.646,112.6,107.6,5.0,E,E
2010,Western Conf Semifinals,Los Angeles Lakers,Utah Jazz,1,5,0.695,109.51,104.57,4.93,0.646,111.57,105.81,5.76,W,W
2010,Western Conf Semifinals,Phoenix Suns,San Antonio Spurs,3,7,0.659,116.11,110.94,5.16,0.61,110.61,105.17,5.44,W,W
2010,Western Conf Finals,Los Angeles Lakers,Phoenix Suns,1,3,0.695,109.51,104.57,4.93,0.659,116.11,110.94,5.16,W,W
2010,Eastern Conf Finals,Boston Celtics,Orlando Magic,4,2,0.61,108.65,104.62,4.03,0.72,112.13,104.0,8.13,E,E
2010,Finals,Los Angeles Lakers,Boston Celtics,1,4,0.695,109.51,104.57,4.93,0.61,108.65,104.62,4.03,W,E
2009,Eastern Conf First Round,Cleveland Cavaliers,Detroit Pistons,1,8,0.805,113.29,103.2,10.09,0.476,108.21,108.79,-0.58,E,E
2009,Eastern Conf First Round,Boston Celtics,Chicago Bulls,2,7,0.756,111.25,103.02,8.24,0.5,109.32,109.54,-0.22,E,E
2009,Eastern Conf First Round,Orlando Magic,Philadelphia 76ers,3,6,0.72,109.66,102.58,7.08,0.5,108.79,108.79,0.0,E,E
2009,Eastern Conf First Round,Atlanta Hawks,Miami Heat,4,5,0.573,110.28,108.43,1.84,0.524,108.34,108.28,0.06,E,E
2009,Western Conf First Round,Los Angeles Lakers,Utah Jazz,1,8,0.793,113.43,105.29,8.14,0.585,110.84,107.89,2.96,W,W
2009,Western Conf First Round,Denver Nuggets,New Orleans Hornets,2,7,0.659,111.03,107.68,3.35,0.598,109.75,108.07,1.68,W,W
2009,Western Conf First Round,Dallas Mavericks,San Antonio Spurs,6,3,0.61,111.2,109.14,2.06,0.659,109.18,105.01,4.17,W,W
2009,Western Conf First Round,Houston Rockets,Portland Trail Blazers,5,4,0.646,109.22,104.67,4.55,0.659,114.74,108.68,6.06,W,W
2009,Western Conf Semifinals,Los Angeles Lakers,Houston Rockets,1,5,0.793,113.43,105.29,8.14,0.646,109.22,104.67,4.55,W,W
2009,Western Conf Semifinals,Denver Nuggets,Dallas Mavericks,2,6,0.659,111.03,107.68,3.35,0.61,111.2,109.14,2.06,W,W
2009,Eastern Conf Semifinals,Cleveland Cavaliers,Atlanta Hawks,1,4,0.805,113.29,103.2,10.09,0.573,110.28,108.43,1.84,E,E
2009,Eastern Conf Semifinals,Orlando Magic,Boston Celtics,3,2,0.72,109.66,102.58,7.08,0.756,111.25,103.02,8.24,E,E
